Date : 2026-04-21 18:50:57
Directory : d:\AAAAAAAAAAA\TestA\frontend
Total : 244 files,  18658 codes, -548 comments, 319 blanks, all 18429 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ReservationVO.java                       | Java               |        -35 |        -10 |         -7 |        -52 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ResourceMarketItem.java                  | Java               |        -42 |         -4 |         -9 |        -55 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ResourceMarketTrade.java                 | Java               |        -35 |         -1 |        -10 |        -46 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\Review.java                              | Java               |        -23 |          0 |        -13 |        -36 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ScanDevice.java                          | Java               |        -19 |        -12 |        -11 |        -42 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\ScanDevicePairToken.java                 | Java               |        -21 |        -15 |        -13 |        -49 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\StudyPlan.java                           | Java               |        -28 |         -1 |        -16 |        -45 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\StudyPlanVO.java                         | Java               |        -27 |        -10 |         -5 |        -42 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamJoinApplication.java                 | Java               |        -23 |        -11 |        -13 |        -47 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamJoinApplicationVO.java               | Java               |        -19 |         -6 |         -6 |        -31 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMember.java                          | Java               |        -20 |          0 |        -10 |        -30 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMemberVO.java                        | Java               |        -12 |         -4 |         -5 |        -21 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMessage.java                         | Java               |        -26 |        -12 |        -18 |        -56 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamMessageRead.java                     | Java               |        -25 |          0 |        -11 |        -36 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamRequest.java                         | Java               |        -25 |         -3 |        -15 |        -43 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TeamRequestVO.java                       | Java               |        -19 |         -4 |         -5 |        -28 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\TimeSlot.java                            | Java               |        -23 |          0 |        -12 |        -35 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\entity\User.java                                | Java               |        -26 |          0 |        -16 |        -42 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminMenuMapper.java                     | Java               |        -26 |          0 |         -6 |        -32 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminOperationLogMapper.java             | Java               |         -7 |          0 |         -4 |        -11 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminPermissionMapper.java               | Java               |        -18 |          0 |         -5 |        -23 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\AdminRoleMapper.java                     | Java               |        -16 |          0 |         -6 |        -22 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\BuildingMapper.java                      | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\CampusCreditMapper.java                  | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ClassroomFeedbackMapper.java             | Java               |         -5 |          0 |         -4 |         -9 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ClassroomMapper.java                     | Java               |        -31 |          0 |         -5 |        -36 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\CourseMapper.java                        | Java               |        -29 |          0 |         -5 |        -34 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\LibraryMapper.java                       | Java               |         -5 |          0 |         -4 |         -9 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\LibrarySeatMapper.java                   | Java               |         -5 |          0 |         -4 |         -9 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\NotificationMapper.java                  | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\RepairMapper.java                        | Java               |        -88 |          0 |         -7 |        -95 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReservationLimitConfigMapper.java        | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReservationMapper.java                   | Java               |        -64 |         -3 |         -5 |        -72 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ResourceMarketItemMapper.java            | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ResourceMarketTradeMapper.java           | Java               |         -5 |          0 |         -3 |         -8 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ReviewMapper.java                        | Java               |        -30 |          0 |         -5 |        -35 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ScanDeviceMapper.java                    | Java               |         -9 |          0 |         -4 |        -13 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\ScanDevicePairTokenMapper.java           | Java               |         -5 |          0 |         -4 |         -9 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\StudyPlanMapper.java                     | Java               |        -60 |         -9 |         -7 |        -76 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamJoinApplicationMapper.java           | Java               |        -85 |        -15 |        -10 |       -110 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMemberMapper.java                    | Java               |        -37 |         -8 |         -7 |        -52 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMessageMapper.java                   | Java               |        -30 |          0 |         -5 |        -35 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamMessageReadMapper.java               | Java               |        -15 |          0 |         -5 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TeamRequestMapper.java                   | Java               |        -45 |         -6 |         -7 |        -58 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\TimeSlotMapper.java                      | Java               |         -5 |          0 |         -4 |         -9 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\mapper\UserMapper.java                          | Java               |         -7 |          0 |         -3 |        -10 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminAuthService.java                   | Java               |        -44 |          0 |        -14 |        -58 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminOperationLogService.java           | Java               |         -8 |          0 |         -4 |        -12 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\AdminPermissionService.java             | Java               |        -23 |          0 |         -9 |        -32 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\BuildingService.java                    | Java               |        -15 |          0 |         -5 |        -20 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\CampusCreditService.java                | Java               |        -55 |          0 |        -11 |        -66 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ClassroomFeedbackService.java           | Java               |       -138 |        -18 |        -14 |       -170 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ClassroomService.java                   | Java               |        -64 |         -3 |        -13 |        -80 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\CourseService.java                      | Java               |         -8 |          0 |         -4 |        -12 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\LibrarySeatService.java                 | Java               |        -17 |          0 |         -6 |        -23 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\LibraryService.java                     | Java               |        -15 |          0 |         -6 |        -21 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\NotificationService.java                | Java               |         -8 |          0 |         -4 |        -12 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\RepairService.java                      | Java               |        -55 |         -6 |        -13 |        -74 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReservationLimitService.java            | Java               |        -87 |         -3 |        -10 |       -100 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReservationService.java                 | Java               |       -206 |        -27 |        -30 |       -263 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ResourceMarketItemService.java          | Java               |       -153 |          0 |        -19 |       -172 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ResourceMarketTradeService.java         | Java               |        -65 |          0 |        -12 |        -77 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ReviewService.java                      | Java               |        -42 |         -2 |         -9 |        -53 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ScanDevicePairTokenService.java         | Java               |        -44 |          0 |         -9 |        -53 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\ScanDeviceService.java                  | Java               |        -48 |         -9 |         -8 |        -65 |
| d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\StudyPlanService.java                   | Java               |       -132 |        -16 |        -20 |       -168 |
